NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",491,0
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",3721,1
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",3402,2
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",368,3
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",1484,4
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",2487,5
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",1608,6
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",1462,7
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",3495,8
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",3583,9
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",1747,10
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",344,11
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",3343,12
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",2191,13
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",2986,14
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",3527,15
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",3748,16
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",930,17
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",1560,18
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",1549,19
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",3423,20
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",3464,21
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",1646,22
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",2823,23
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",2022,24
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",1255,25
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",1691,26
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",3414,27
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",1362,28
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",2845,29
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",2333,30
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",2005,31
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",2937,32
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",1628,33
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",3122,34
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",666,35
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",1125,36
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",33,37
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",1671,38
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",2714,39
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",946,40
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",2718,41
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",2372,42
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",1117,43
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",3186,44
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",2648,45
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",3379,46
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",2742,47
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",2336,48
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",267,49
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",1359,50
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",1441,51
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",1962,52
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",3717,53
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",347,54
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",2090,55
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",3406,56
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",2061,57
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",3699,58
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",1385,59
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",729,60
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",712,61
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",656,62
NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,"C",1397,63
